Order,Country,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase (million USD)",Year,Total number of projects,Total registered capital (million USD),Total investment (million USD)
370,Ethiopia,0,0.0,0,0.0,1,0.04,2018,0,0.0,0.04
371,Uganda,1,0.0,0,0.0,2,0.03,2018,1,0.0,0.03
372,Ghana,0,0.0,0,0.0,1,0.02,2018,0,0.0,0.02
373,Kuwait,1,0.0,0,0.0,1,0.02,2018,1,0.0,0.02
374,Romania,0,0.0,0,0.0,2,0.02,2018,0,0.0,0.02
375,Portugal,0,0.0,0,0.0,1,0.01,2018,0,0.0,0.01
376,Liechtenstein,1,0.01,0,0.0,0,0.0,2018,1,0.01,0.01
377,Mexico,1,0.01,0,0.0,0,0.0,2018,1,0.01,0.01
378,Iran (Islamic Republic of),0,0.0,0,0.0,1,0.01,2018,0,0.0,0.01
379,Rumani,0,0.0,0,0.0,1,0.01,2018,0,0.0,0.01
380,Colombia,0,0.0,0,0.0,1,0.0,2018,0,0.0,0.0
381,Serbia,0,0.0,0,0.0,2,0.0,2018,0,0.0,0.0
382,Dominican Republic,0,0.0,0,0.0,1,0.0,2018,0,0.0,0.0
383,Haiti,0,0.0,0,0.0,1,0.0,2018,0,0.0,0.0
384,Denmark,4,0.33,2,4.73,17,1.7,2018,6,5.0600000000000005,6.760000000000001
385,Korea,1137,3668.76,457,1580.26,2959,2667.98,2019,1594,5249.02,7917.0
386,Hongkong,328,2811.88,100,606.16,191,4450.58,2019,428,3418.04,7868.62
387,Singapore,296,2100.94,90,-290.5,658,2691.28,2019,386,1810.44,4501.72
388,Japan,435,1820.69,220,1070.79,787,1246.12,2019,655,2891.48,4137.6
389,China,683,2373.37,145,650.36,1925,1039.21,2019,828,3023.73,4062.94
390,Taiwan,152,860.62,90,304.81,733,676.86,2019,242,1165.43,1842.29
391,BritishVirginIslands,45,500.42,34,321.08,79,550.54,2019,79,821.5,1372.04
392,Samoa,55,543.09,29,243.69,31,99.89,2019,84,786.78,886.67
393,Thailand,46,562.35,18,85.14,143,220.73,2019,64,647.49,868.22
394,Neitherland,29,390.85,17,262.48,57,174.45,2019,46,653.33,827.78
395,Cayman Islands,8,21.6,6,99.56,31,387.06,2019,14,121.16,508.22
396,The United States of America,105,163.03,30,182.33,328,115.1,2019,135,345.36,460.46000000000004
397,United Kingdom,36,149.28,14,73.3,95,80.68,2019,50,222.57999999999998,303.26
398,Seychelles,34,163.33,9,30.33,27,73.4,2019,43,193.66000000000003,267.06000000000006
399,Australia,51,42.81,12,75.19,191,108.47,2019,63,118.0,226.47
400,Malaysia,36,23.62,17,123.78,203,68.72,2019,53,147.4,216.12
401,France,44,37.13,12,28.84,187,112.76,2019,56,65.97,178.73000000000002
402,Canada,28,31.28,5,1.36,107,145.86,2019,33,32.64,178.5
403,Germany,34,39.11,10,50.13,79,48.44,2019,44,89.24000000000001,137.68
404,New Zealand,8,117.8,1,0.19,21,17.1,2019,9,117.99,135.09
405,Sweden,15,28.62,5,4.15,15,90.12,2019,20,32.77,122.89000000000001
406,Switzerland,20,11.06,5,52.29,26,47.03,2019,25,63.35,110.38
407,Anguilla,8,40.26,3,17.5,4,13.19,2019,11,57.76,70.95
408,Brunei Darussalam,1,1.1,6,53.59,6,14.92,2019,7,54.690000000000005,69.61
409,Luxembourg,5,45.62,1,0.34,6,10.85,2019,6,45.96,56.81
410,Philippines,3,0.05,0,0.0,36,51.92,2019,3,0.05,51.97
411,India,53,23.1,9,15.8,134,11.06,2019,62,38.900000000000006,49.96000000000001
412,Indonesia,19,12.76,4,17.32,25,14.0,2019,23,30.08,44.08
413,Qatar,0,0.0,0,0.0,3,42.79,2019,0,0.0,42.79
414,Bermuda,0,0.0,1,42.45,0,0.0,2019,1,42.45,42.45
415,Spain,7,8.28,8,9.74,24,22.19,2019,15,18.02,40.21
416,Russia,13,3.31,0,0.0,92,31.98,2019,13,3.31,35.29
417,Norway,4,0.12,1,28.0,13,4.35,2019,5,28.12,32.47
418,British West Indies,3,31.0,0,0.0,1,0.23,2019,3,31.0,31.23
419,Poland,5,26.75,0,0.0,16,1.71,2019,5,26.75,28.46
420,Denmark,11,3.63,2,10.11,19,10.82,2019,13,13.739999999999998,24.56
421,Ireland,4,21.08,0,0.0,14,0.42,2019,4,21.08,21.5
422,Pakistan,10,0.43,3,4.14,74,11.58,2019,13,4.569999999999999,16.15
423,Israel,5,10.39,1,0.2,14,5.45,2019,6,10.59,16.04
424,Czech Republic,1,0.22,1,0.42,10,15.33,2019,2,0.64,15.97
425,Mauritius,1,0.01,3,13.5,3,1.51,2019,4,13.51,15.02
426,Lithuania,3,6.2,1,7.75,3,1.06,2019,4,13.95,15.01
427,Macao,1,15.0,0,0.0,1,0.0,2019,1,15.0,15.0
428,Italia,16,3.8,2,5.16,43,4.22,2019,18,8.96,13.18
429,Sri Lanka,4,0.24,4,9.7,12,0.71,2019,8,9.94,10.649999999999999
430,Slovakia,2,0.01,0,0.0,3,10.05,2019,2,0.01,10.06
431,Belize,2,7.08,0,0.0,3,2.58,2019,2,7.08,9.66
432,United States Virgin Islands,0,0.0,1,1.34,1,8.17,2019,1,1.34,9.51
433,Afghanistan,1,0.04,0,0.0,33,9.31,2019,1,0.04,9.35
434,Marshall Islands,0,0.0,0,0.0,3,7.5,2019,0,0.0,7.5
435,Litva,1,6.78,0,0.0,0,0.0,2019,1,6.78,6.78
436,Panama,1,0.01,1,6.0,1,0.46,2019,2,6.01,6.47
437,Ukraina,2,0.1,0,0.0,23,6.22,2019,2,0.1,6.319999999999999
438,Republic of Cyprus,3,0.35,2,3.21,2,2.52,2019,5,3.56,6.08
439,Belgium,5,5.07,0,0.0,16,0.98,2019,5,5.07,6.050000000000001
440,Cambodia,4,1.25,0,0.0,10,4.41,2019,4,1.25,5.66
441,Oman,0,0.0,0,0.0,1,5.11,2019,0,0.0,5.11
442,Turkey,3,0.13,0,0.0,25,4.64,2019,3,0.13,4.77
443,United Arab Emirates,3,2.9,0,0.0,4,1.53,2019,3,2.9,4.43
444,Nigeria,5,0.37,0,0.0,87,3.92,2019,5,0.37,4.29
445,Bangladesh,4,0.11,0,0.0,26,2.64,2019,4,0.11,2.75
446,Austria,2,1.37,0,0.0,6,1.36,2019,2,1.37,2.7300000000000004
447,Kazakhstan,1,0.05,0,0.0,10,2.23,2019,1,0.05,2.28
448,Democratic Republic of the Congo,0,0.0,0,0.0,1,2.2,2019,0,0.0,2.2
449,Ukraine,0,0.0,0,0.0,4,1.72,2019,0,0.0,1.72
450,Latvia,1,0.09,0,0.0,6,1.44,2019,1,0.09,1.53
451,Hungary,0,0.0,0,0.0,4,1.43,2019,0,0.0,1.43
452,Saint Vincent and the Grenadines,1,1.3,0,0.0,0,0.0,2019,1,1.3,1.3
453,Bulgaria,1,1.07,0,0.0,2,0.04,2019,1,1.07,1.11
454,Armenia,0,0.0,0,0.0,2,1.0,2019,0,0.0,1.0
455,Poland,4,0.67,0,0.0,6,0.22,2019,4,0.67,0.89
456,Nepal,2,0.24,0,0.0,14,0.56,2019,2,0.24,0.8
457,Ethiopia,0,0.0,0,0.0,2,0.78,2019,0,0.0,0.78
458,Saudi Arabic,0,0.0,0,0.0,7,0.63,2019,0,0.0,0.63
459,Saint Kitts and Nevis,0,0.0,0,0.0,2,0.58,2019,0,0.0,0.58
460,Egypt,6,0.2,0,0.0,14,0.38,2019,6,0.2,0.5800000000000001
461,Bahamas,4,0.48,0,0.0,0,0.0,2019,4,0.48,0.48
462,Grece,0,0.0,0,0.0,8,0.37,2019,0,0.0,0.37
463,Isle of Man,0,0.0,0,0.0,1,0.3,2019,0,0.0,0.3
464,Chile,1,0.25,0,0.0,1,0.04,2019,1,0.25,0.29
465,Iraq,0,0.0,0,0.0,6,0.28,2019,0,0.0,0.28
466,Yemen,1,0.01,0,0.0,9,0.26,2019,1,0.01,0.27
467,Burkina Faso,0,0.0,0,0.0,4,0.26,2019,0,0.0,0.26
468,Jordan,1,0.01,0,0.0,5,0.25,2019,1,0.01,0.26
469,South Africa,3,0.09,0,0.0,5,0.16,2019,3,0.09,0.25
470,Laos,1,0.1,0,0.0,4,0.14,2019,1,0.1,0.24000000000000002
471,Island of Nevis,0,0.0,0,0.0,1,0.21,2019,0,0.0,0.21
472,Palestine,0,0.0,0,0.0,3,0.18,2019,0,0.0,0.18
473,Sudan,0,0.0,0,0.0,3,0.18,2019,0,0.0,0.18
474,Iran (Islamic Republic of),1,0.01,0,0.0,3,0.15,2019,1,0.01,0.16
475,Mali,0,0.0,0,0.0,3,0.13,2019,0,0.0,0.13
476,Andorra,0,0.0,0,0.0,1,0.13,2019,0,0.0,0.13
477,Myanmar,0,0.0,0,0.0,1,0.13,2019,0,0.0,0.13
478,Albania,0,0.0,0,0.0,2,0.12,2019,0,0.0,0.12
479,Antigua and Barbuda,0,0.0,1,0.05,1,0.07,2019,1,0.05,0.12000000000000001
480,Mexico,2,0.11,0,0.0,1,0.0,2019,2,0.11,0.11
481,Libya,2,0.12,0,0.0,0,0.0,2019,2,0.12,0.12
482,Brazil,1,0.01,0,0.0,3,0.11,2019,1,0.01,0.12
483,Kenya,0,0.0,0,0.0,1,0.1,2019,0,0.0,0.1
484,Honduras,1,0.1,0,0.0,0,0.0,2019,1,0.1,0.1
485,Syrian Arab Republic,2,0.08,0,0.0,0,0.0,2019,2,0.08,0.08
486,Guinea Bissau,0,0.0,0,0.0,1,0.08,2019,0,0.0,0.08
487,Belarus,2,0.05,0,0.0,1,0.02,2019,2,0.05,0.07
488,Djibouti,1,0.02,0,0.0,2,0.04,2019,1,0.02,0.06
489,Mongolia,0,0.0,0,0.0,2,0.06,2019,0,0.0,0.06
490,Vanuatu,0,0.0,0,0.0,2,0.06,2019,0,0.0,0.06
491,Rumani,0,0.0,0,0.0,6,0.04,2019,0,0.0,0.04
492,Dominica,0,0.0,0,0.0,1,0.04,2019,0,0.0,0.04
493,Somali,0,0.0,0,0.0,1,0.04,2019,0,0.0,0.04
494,Iceland,1,0.02,0,0.0,1,0.02,2019,1,0.02,0.04
495,Malawi,0,0.0,0,0.0,1,0.04,2019,0,0.0,0.04
496,Tuvalu,0,0.0,0,0.0,1,0.03,2019,0,0.0,0.03
497,Venezuela,0,0.0,0,0.0,1,0.03,2019,0,0.0,0.03
498,Liberia,0,0.0,0,0.0,1,0.02,2019,0,0.0,0.02
499,Trinidad and Tobago,0,0.0,0,0.0,1,0.02,2019,0,0.0,0.02
500,Algeria,0,0.0,0,0.0,1,0.02,2019,0,0.0,0.02
501,British Isles,0,0.0,0,0.0,1,0.02,2019,0,0.0,0.02
502,Kyrgyzstan,0,0.0,0,0.0,1,0.02,2019,0,0.0,0.02
503,Portugal,0,0.0,0,0.0,2,0.02,2019,0,0.0,0.02
504,Cameroon,2,0.01,0,0.0,0,0.0,2019,2,0.01,0.01
505,Costa Rica,1,0.01,0,0.0,0,0.0,2019,1,0.01,0.01
506,Lebanon,0,0.0,0,0.0,2,0.007,2019,0,0.0,0.007
507,Mozambique,0,0.0,0,0.0,1,0.01,2019,0,0.0,0.01
508,Colombia,0,0.0,0,0.0,1,0.004,2019,0,0.0,0.004
509,Ghana,0,0.0,0,0.0,1,0.004,2019,0,0.0,0.004
510,Singapore,248,6157.24,89,671.19,529,2165.69,2020,337,6828.43,8994.12
511,Korea,609,1205.8,354,1740.13,1823,1003.18,2020,963,2945.9300000000003,3949.11
512,China,342,1582.05,134,487.56,804,389.82,2020,476,2069.61,2459.4300000000003
513,Japan,272,786.03,155,432.96,523,1148.99,2020,427,1218.99,2367.98
514,Taiwan,131,1505.74,78,200.8,433,351.86,2020,209,1706.54,2058.4
515,Hongkong,211,1271.02,102,466.33,126,262.22,2020,313,1737.35,1999.57
516,Thailand,40,292.36,23,1357.34,100,135.79,2020,63,1649.6999999999998,1785.4899999999998
517,BritishVirginIslands,30,310.82,25,206.5,38,385.61,2020,55,517.3199999999999,902.93
518,Neitherland,36,293.67,16,158.0,42,444.86,2020,52,451.67,896.53
519,Cayman Islands,3,100.2,1,2.0,33,286.07,2020,4,102.2,388.27
520,The United States of America,95,180.45,16,40.61,262,139.17,2020,111,221.06,360.23
521,Philippines,7,295.36,0,0.0,35,12.31,2020,7,295.36,307.67
522,Seychelles,36,134.68,12,22.45,19,101.52,2020,48,157.13,258.65
523,United Kingdom,42,15.7,15,129.09,81,104.65,2020,57,144.79,249.44
524,Samoa,31,134.03,20,88.36,16,19.79,2020,51,222.39,242.17999999999998
525,Malaysia,33,61.44,12,94.25,121,39.33,2020,45,155.69,195.01999999999998
526,Germany,29,74.55,10,30.22,67,41.29,2020,39,104.77,146.06
527,France,52,43.86,11,17.41,175,73.11,2020,63,61.269999999999996,134.38
528,Switzerland,11,20.09,9,44.71,30,37.42,2020,20,64.8,102.22
529,Poland,3,1.52,4,90.1,9,2.53,2020,7,91.61999999999999,94.14999999999999
530,Australia,41,5.52,2,1.68,131,64.06,2020,43,7.199999999999999,71.26
531,Canada,22,4.32,6,5.86,78,57.28,2020,28,10.18,67.46000000000001
532,Luxembourg,1,1.5,2,38.26,12,9.57,2020,3,39.76,49.33
533,Kenya,1,40.77,0,0.0,2,8.06,2020,1,40.77,48.830000000000005
534,Belize,4,13.9,3,3.47,4,19.16,2020,7,17.37,36.53
535,India,47,15.93,5,1.07,110,13.77,2020,52,17.0,30.77
536,Anguilla,3,4.8,4,16.17,1,9.74,2020,7,20.970000000000002,30.71
537,Indonesia,10,15.51,3,3.4,14,10.05,2020,13,18.91,28.96
538,British West Indies,1,11.57,4,16.6,0,0.0,2020,5,28.17,28.17
539,United Arab Emirates,5,17.4,1,0.06,2,6.83,2020,6,17.459999999999997,24.29
540,Afghanistan,1,0.06,1,0.0,36,22.97,2020,2,0.06,23.029999999999998
541,Cambodia,5,6.85,0,0.0,8,16.14,2020,5,6.85,22.990000000000002
542,Iceland,2,8.3,1,12.0,0,0.0,2020,3,20.3,20.3
543,Marshall Islands,2,10.5,1,0.47,2,6.24,2020,3,10.97,17.21
544,Spain,7,1.09,2,10.12,9,0.38,2020,9,11.209999999999999,11.59
545,Denmark,5,1.85,2,8.5,12,1.18,2020,7,10.35,11.53
546,Israel,5,0.04,2,3.25,19,5.66,2020,7,3.29,8.95
547,Mauritius,2,1.66,1,7.0,1,0.05,2020,3,8.66,8.71
548,Russia,9,0.59,1,0.1,83,8.02,2020,10,0.69,8.709999999999999
549,Panama,1,7.0,1,0.7,1,0.9,2020,2,7.7,8.6
550,Pakistan,1,0.01,1,0.15,24,8.14,2020,2,0.16,8.3
551,Ukraina,2,0.09,0,0.0,16,8.05,2020,2,0.09,8.14
552,Sweden,5,0.79,1,1.77,17,4.47,2020,6,2.56,7.029999999999999
553,Nigeria,1,0.04,2,0.05,61,6.91,2020,3,0.09,7.0
554,Italia,11,2.95,1,0.51,23,3.28,2020,12,3.46,6.74
555,Belgium,8,3.69,0,0.0,15,0.62,2020,8,3.69,4.31
556,Ireland,3,0.07,0,0.0,9,3.99,2020,3,0.07,4.0600000000000005
557,Republic of Cyprus,4,0.1,0,0.0,5,3.01,2020,4,0.1,3.11
558,Macao,1,0.05,3,2.92,2,0.1,2020,4,2.9699999999999998,3.07
559,South Africa,3,0.1,0,0.0,9,2.5,2020,3,0.1,2.6
560,Portugal,0,0.0,0,0.0,5,2.44,2020,0,0.0,2.44
561,Brazil,0,0.0,0,0.0,8,2.33,2020,0,0.0,2.33
562,Laos,0,0.0,0,0.0,3,2.26,2020,0,0.0,2.26
563,Turkey,4,0.09,0,0.0,8,1.75,2020,4,0.09,1.84
564,Egypt,6,0.34,0,0.0,9,0.96,2020,6,0.34,1.3
565,Bangladesh,0,0.0,0,0.0,9,1.19,2020,0,0.0,1.19
566,Poland,5,0.3,2,0.27,6,0.6,2020,7,0.5700000000000001,1.17
567,Austria,1,0.04,0,0.0,7,1.11,2020,1,0.04,1.1500000000000001
568,New Zealand,4,0.2,0,0.0,15,0.92,2020,4,0.2,1.12
569,Ethiopia,0,0.0,0,0.0,2,0.95,2020,0,0.0,0.95
570,Mali,0,0.0,0,0.0,2,0.91,2020,0,0.0,0.91
571,Malta,1,0.6,0,0.0,1,0.26,2020,1,0.6,0.86
572,Kazakhstan,2,0.02,0,0.0,6,0.77,2020,2,0.02,0.79
573,Venezuela,0,0.0,0,0.0,1,0.77,2020,0,0.0,0.77
574,Saudi Arabic,1,0.06,0,0.0,3,0.71,2020,1,0.06,0.77
575,Burkina Faso,0,0.0,0,0.0,3,0.65,2020,0,0.0,0.65
576,Syrian Arab Republic,0,0.0,0,0.0,4,0.65,2020,0,0.0,0.65
577,Sri Lanka,2,0.13,0,0.0,6,0.5,2020,2,0.13,0.63
578,Saint Kitts and Nevis,1,0.02,0,0.0,1,0.6,2020,1,0.02,0.62
579,Czech Republic,1,0.1,1,0.19,7,0.3,2020,2,0.29000000000000004,0.5900000000000001
580,Grece,0,0.0,0,0.0,4,0.31,2020,0,0.0,0.31
581,Iran (Islamic Republic of),1,0.02,0,0.0,4,0.2,2020,1,0.02,0.22
582,Cuba,1,0.2,0,0.0,0,0.0,2020,1,0.2,0.2
583,Cameroon,1,0.18,0,0.0,0,0.0,2020,1,0.18,0.18
584,Norway,2,0.16,0,0.0,2,0.02,2020,2,0.16,0.18
585,Latvia,0,0.0,0,0.0,3,0.16,2020,0,0.0,0.16
586,Trinidad and Tobago,0,0.0,0,0.0,1,0.13,2020,0,0.0,0.13
587,Albania,0,0.0,0,0.0,2,0.13,2020,0,0.0,0.13
588,Lithuania,1,0.01,0,0.0,4,0.12,2020,1,0.01,0.13
589,Palestine,1,0.04,0,0.0,1,0.09,2020,1,0.04,0.13
590,Dominica,1,0.04,0,0.0,2,0.06,2020,1,0.04,0.1
591,Vanuatu,0,0.0,0,0.0,2,0.1,2020,0,0.0,0.1
592,Nepal,0,0.0,0,0.0,3,0.1,2020,0,0.0,0.1
593,Yemen,1,0.01,0,0.0,2,0.09,2020,1,0.01,0.09999999999999999
594,Sudan,0,0.0,0,0.0,1,0.09,2020,0,0.0,0.09
595,Jordan,0,0.0,0,0.0,1,0.09,2020,0,0.0,0.09
596,Slovakia,0,0.0,0,0.0,3,0.08,2020,0,0.0,0.08
597,Cote deIvoire,0,0.0,0,0.0,1,0.06,2020,0,0.0,0.06
598,Iraq,1,0.01,0,0.0,3,0.05,2020,1,0.01,0.060000000000000005
599,Belarus,1,0.04,1,0.01,0,0.0,2020,2,0.05,0.05
600,Guinea,1,0.01,0,0.0,1,0.04,2020,1,0.01,0.05
601,Republic of Moldova,0,0.0,0,0.0,2,0.05,2020,0,0.0,0.05
602,Chile,2,0.03,0,0.0,2,0.01,2020,2,0.03,0.04
603,Hungary,0,0.0,0,0.0,2,0.04,2020,0,0.0,0.04
604,Turkmenistan,0,0.0,0,0.0,1,0.03,2020,0,0.0,0.03
605,Rumani,0,0.0,0,0.0,2,0.03,2020,0,0.0,0.03
606,Argentina,1,0.02,0,0.0,1,0.0,2020,1,0.02,0.02
607,Algeria,0,0.0,0,0.0,1,0.02,2020,0,0.0,0.02
608,Libya,0,0.0,0,0.0,1,0.02,2020,0,0.0,0.02
609,Bulgaria,0,0.0,0,0.0,1,0.02,2020,0,0.0,0.02
610,Lebanon,1,0.02,0,0.0,0,0.0,2020,1,0.02,0.02
611,Liberia,0,0.0,0,0.0,3,0.02,2020,0,0.0,0.02
612,Mexico,0,0.0,0,0.0,2,0.02,2020,0,0.0,0.02
613,Serbia,0,0.0,0,0.0,1,0.02,2020,0,0.0,0.02
614,Colombia,2,0.02,0,0.0,0,0.0,2020,2,0.02,0.02
615,Litva,0,0.0,0,0.0,1,0.01,2020,0,0.0,0.01
616,Bahamas,1,0.01,0,0.0,0,0.0,2020,1,0.01,0.01
617,Lesotho,1,0.01,0,0.0,0,0.0,2020,1,0.01,0.01
618,Democratic Republic of the Congo,0,0.0,0,0.0,1,0.01,2020,0,0.0,0.01
619,El Salvador,0,0.0,0,0.0,1,0.01,2020,0,0.0,0.01
620,Kyrgyzstan,0,0.0,0,0.0,1,3e-05,2020,0,0.0,3e-05
621,Singapore,221,6105.13,93,1238.08,332,3368.77,2021,314,7343.21,10711.98
622,Korea,361,1198.94,280,3162.82,1301,591.43,2021,641,4361.76,4953.1900000000005
623,Japan,199,2790.27,132,859.76,209,247.45,2021,331,3650.0299999999997,3897.4799999999996
624,China,204,1664.35,117,1047.54,433,209.83,2021,321,2711.89,2921.72
625,Hongkong,126,1672.24,96,470.07,80,173.46,2021,222,2142.31,2315.77
626,Taiwan,63,284.85,61,805.39,209,161.75,2021,124,1090.24,1251.99
627,Neitherland,24,119.44,16,186.55,32,816.34,2021,40,305.99,1122.33
628,The United States of America,77,398.4,23,255.48,160,84.78,2021,100,653.88,738.66
629,BritishVirginIslands,27,219.8,23,197.03,17,152.72,2021,50,416.83000000000004,569.5500000000001
630,Cayman Islands,7,15.2,6,38.84,14,377.23,2021,13,54.040000000000006,431.27000000000004
631,Thailand,35,199.43,20,4.25,37,146.06,2021,55,203.68,349.74
632,United Kingdom,48,53.25,13,120.62,84,129.13,2021,61,173.87,303.0
633,Samoa,15,80.7,15,184.08,8,12.78,2021,30,264.78000000000003,277.56
634,Switzerland,12,11.45,3,137.18,15,22.1,2021,15,148.63,170.73
635,Seychelles,17,93.62,11,39.19,9,20.03,2021,28,132.81,152.84
636,Malaysia,20,23.19,11,40.24,60,79.41,2021,31,63.43000000000001,142.84
637,Germany,34,85.66,12,20.93,53,19.42,2021,46,106.59,126.01
638,Turkey,3,0.32,1,82.7,16,2.73,2021,4,83.02,85.75
639,Australia,35,38.58,9,5.88,94,32.54,2021,44,44.46,77.0
640,Canada,20,15.86,3,1.72,60,44.78,2021,23,17.58,62.36
641,Philippines,6,54.75,0,0.0,22,6.68,2021,6,54.75,61.43
642,Bermuda,0,0.0,1,49.8,0,0.0,2021,1,49.8,49.8
643,Denmark,6,13.49,2,24.62,16,9.19,2021,8,38.11,47.3
644,France,31,2.19,10,11.79,119,25.24,2021,41,13.979999999999999,39.22
645,Kenya,0,0.0,0,0.0,1,29.97,2021,0,0.0,29.97
646,United States Virgin Islands,1,27.5,1,1.76,0,0.0,2021,2,29.26,29.26
647,India,26,5.51,7,6.62,60,7.02,2021,33,12.129999999999999,19.15
648,Afghanistan,0,0.0,0,0.0,12,18.19,2021,0,0.0,18.19
649,Belgium,5,0.59,0,0.0,16,16.19,2021,5,0.59,16.78
650,Belarus,0,0.0,1,15.99,3,0.05,2021,1,15.99,16.04
651,Ireland,6,0.66,0,0.0,9,13.18,2021,6,0.66,13.84
652,Israel,6,1.39,2,9.9,12,1.84,2021,8,11.290000000000001,13.13
653,Italia,16,6.97,2,4.2,19,1.27,2021,18,11.17,12.44
654,Macao,1,10.87,1,1.5,0,0.0,2021,2,12.37,12.37
655,Sweden,10,11.33,0,0.0,4,0.71,2021,10,11.33,12.04
656,Belize,1,9.5,0,0.0,1,1.81,2021,1,9.5,11.31
657,Anguilla,1,10.0,0,0.0,0,0.0,2021,1,10.0,10.0
658,Spain,5,0.24,2,6.49,13,3.23,2021,7,6.73,9.96
659,Brunei Darussalam,0,0.0,1,0.26,1,8.66,2021,1,0.26,8.92
660,Russia,5,0.12,1,0.62,59,7.38,2021,6,0.74,8.12
661,Saudi Arabic,1,7.5,0,0.0,2,0.35,2021,1,7.5,7.85
662,Nigeria,2,0.03,0,0.0,32,5.91,2021,2,0.03,5.94
663,Indonesia,3,0.17,0,0.0,9,5.49,2021,3,0.17,5.66
664,Sierra Leone,0,0.0,0,0.0,1,5.17,2021,0,0.0,5.17
665,Marshall Islands,1,5.0,0,0.0,0,0.0,2021,1,5.0,5.0
666,Cambodia,1,0.15,0,0.0,4,4.01,2021,1,0.15,4.16
667,Luxembourg,1,0.5,1,3.0,3,0.61,2021,2,3.5,4.11
668,Channel Islands,0,0.0,0,0.0,1,3.99,2021,0,0.0,3.99
669,Hungary,2,2.08,0,0.0,4,0.18,2021,2,2.08,2.2600000000000002
670,Pakistan,4,0.23,1,0.5,17,2.38,2021,5,0.73,3.11
671,Yemen,0,0.0,0,0.0,6,2.0,2021,0,0.0,2.0
672,Panama,0,0.0,2,1.6,0,0.0,2021,2,1.6,1.6
673,Austria,2,0.28,0,0.0,3,1.12,2021,2,0.28,1.4000000000000001
674,Kazakhstan,1,0.02,0,0.0,4,1.35,2021,1,0.02,1.37
675,New Zealand,4,0.18,0,0.0,15,1.13,2021,4,0.18,1.3099999999999998
676,Albania,1,1.24,0,0.0,0,0.0,2021,1,1.24,1.24
677,Ukraina,0,0.0,0,0.0,15,1.05,2021,0,0.0,1.05
678,Mauritius,0,0.0,1,1.0,0,0.0,2021,1,1.0,1.0
679,South Africa,2,0.05,0,0.0,9,0.84,2021,2,0.05,0.89
680,Sri Lanka,1,0.2,0,0.0,3,0.61,2021,1,0.2,0.81
681,Maroc,1,0.03,0,0.0,2,0.77,2021,1,0.03,0.8
682,Uzbekistan,0,0.0,0,0.0,1,0.65,2021,0,0.0,0.65
683,Czech Republic,3,0.09,0,0.0,4,0.53,2021,3,0.09,0.62
684,Uruguay,1,0.04,0,0.0,2,0.55,2021,1,0.04,0.5900000000000001
685,Norway,5,0.57,0,0.0,1,0.01,2021,5,0.57,0.58
686,Egypt,1,0.01,1,0.03,6,0.5,2021,2,0.04,0.54
687,Cote deIvoire,0,0.0,0,0.0,3,0.51,2021,0,0.0,0.51
688,Poland,2,0.09,0,0.0,5,0.39,2021,2,0.09,0.48
689,United Arab Emirates,4,0.33,0,0.0,1,0.13,2021,4,0.33,0.46
690,Rumani,0,0.0,0,0.0,2,0.47,2021,0,0.0,0.47
691,Poland,4,0.13,0,0.0,4,0.32,2021,4,0.13,0.45
692,Slovakia,2,0.02,0,0.0,3,0.42,2021,2,0.02,0.44
693,Guinea Bissau,0,0.0,0,0.0,2,0.42,2021,0,0.0,0.42
694,Iraq,0,0.0,0,0.0,1,0.39,2021,0,0.0,0.39
695,Armenia,0,0.0,0,0.0,4,0.32,2021,0,0.0,0.32
696,Iran (Islamic Republic of),1,0.01,0,0.0,2,0.28,2021,1,0.01,0.29000000000000004
697,Lithuania,0,0.0,0,0.0,1,0.27,2021,0,0.0,0.27
698,Grece,2,0.05,0,0.0,4,0.22,2021,2,0.05,0.27
699,Libya,0,0.0,0,0.0,1,0.26,2021,0,0.0,0.26
700,Bangladesh,0,0.0,0,0.0,2,0.23,2021,0,0.0,0.23
701,Brazil,1,0.02,0,0.0,3,0.2,2021,1,0.02,0.22
702,Jordan,0,0.0,0,0.0,2,0.22,2021,0,0.0,0.22
703,Bulgaria,2,0.04,0,0.0,1,0.13,2021,2,0.04,0.17
704,Lebanon,1,0.05,1,0.11,0,0.0,2021,2,0.16,0.16
705,Laos,1,0.15,0,0.0,0,0.0,2021,1,0.15,0.15
706,Liberia,0,0.0,0,0.0,1,0.14,2021,0,0.0,0.14
707,Myanmar,0,0.0,0,0.0,2,0.14,2021,0,0.0,0.14
708,Romania,0,0.0,0,0.0,1,0.14,2021,0,0.0,0.14
709,Cuba,1,0.13,0,0.0,0,0.0,2021,1,0.13,0.13
710,Mongolia,0,0.0,0,0.0,1,0.13,2021,0,0.0,0.13
711,Syrian Arab Republic,0,0.0,0,0.0,1,0.13,2021,0,0.0,0.13
712,Mali,0,0.0,0,0.0,1,0.11,2021,0,0.0,0.11
713,Nepal,1,0.03,0,0.0,2,0.07,2021,1,0.03,0.1
714,Nicaragua,0,0.0,0,0.0,1,0.04,2021,0,0.0,0.04
715,Zimbabwe,0,0.0,0,0.0,1,0.03,2021,0,0.0,0.03
716,Congo,1,0.02,0,0.0,0,0.0,2021,1,0.02,0.02
